HHNR	ZPERS	AUSB	EINK	AUTOS	ZGDE
54000189600	2	0	11	1	54
54000245300	2	0	7	1	54
54000263100	2	0	11	2	54
54000276300	3	0	17	1	54
54000277400	2	0	5	1	54
54000279800	1	0	5	0	54
54000293600	2	0	3	2	54
54000297300	2	0	11	1	54
54000319500	2	0	5	1	54
54000320200	2	0	11	1	54
55000014700	5	0	15	1	55
55000017400	3	0	7	1	55
55000058100	1	0	15	1	55
55000060300	1	0	11	1	55
55000067900	2	0	5	1	55
55000081400	1	0	3	0	55
55000083100	5	0	19	0	55
55000086600	3	0	9	1	55
55000086601	3	0	9	1	4305
55000091600	2	0	11	1	55
55000097500	3	0	5	3	55
55000098600	3	0	7	2	55
55000108200	1	0	7	1	55
55000132300	2	0	17	2	55
55000148200	4	0	9	1	55
55000151800	3	0	13	2	55
55000154400	1	0	9	0	55
55000179000	3	0	13	2	55
55000180800	1	0	9	0	55
55000180801	1	0	7	1	261
55000185400	3	0	11	1	55
55000188000	2	0	17	1	55
56000007800	2	0	11	1	56
56000011800	4	0	7	1	56
56000019300	1	0	9	1	56
56000056700	2	0	19	2	56
56000084800	3	0	7	1	56
56000095600	1	0	7	1	56
56000108600	1	0	5	1	56
56000119200	2	0	7	1	56
56000129900	3	0	7	1	56
56000130500	2	0	5	1	56
56000132200	2	0	11	2	56
56000141800	2	0	5	3	56
56000195900	1	0	9	3	56
56000215000	2	0	11	1	56
56000217500	3	0	15	2	56
56000223300	2	0	7	1	56
56000224300	2	0	3	0	56
56000225800	3	0	9	1	56
56000248500	4	0	13	0	56
56000253200	1	0	7	2	56
56000266000	1	0	5	1	56
56000285200	3	0	17	2	56
56000285400	3	0	7	0	56
56000289200	4	0	9	0	56
56000290300	2	0	19	2	56
56000310400	1	0	11	3	56
56000352800	2	0	5	1	56
56000357400	4	0	19	2	56
57000005600	1	0	9	0	57
57000020900	1	0	7	1	57
57000027900	2	0	7	1	57
57000036700	5	0	7	1	57
57000039600	6	0	7	1	57
57000067800	2	0	5	1	57
57000072500	4	0	7	1	57
57000085700	2	0	5	0	57
58000005500	2	0	7	2	58
58000013300	4	0	9	1	58
58000034600	1	0	15	1	58
58000048300	2	0	11	2	58
58000060900	2	0	19	0	58
58000068100	2	0	7	1	58
58000075500	4	0	7	0	58
58000091400	2	0	7	2	58
59000011900	4	0	9	2	59
59000041300	1	0	7	0	59
59000058400	5	0	5	0	59
59000070200	1	0	11	2	59
60000021400	6	0	9	1	60
60000025600	7	0	9	1	60
60000068200	2	0	15	1	60
60000068201	2	0	13	2	261
60000068900	2	0	5	1	60
61000018200	1	0	11	2	61
61000018900	1	0	7	1	61
61000022300	2	0	5	1	61
62000001700	3	0	7	2	62
62000007100	4	0	13	1	62
62000017600	2	0	11	0	62
62000019100	1	0	9	1	62
62000024200	3	0	17	1	62
62000050300	2	0	15	1	62
62000051600	3	0	5	1	62
62000060500	1	0	5	0	62
62000066700	2	0	7	2	62
62000072900	2	0	19	2	62
62000087100	3	0	15	1	62
62000126600	1	0	9	1	62
62000136200	2	0	7	3	62
62000141300	2	0	9	1	62
62000144700	1	0	15	1	62
62000174500	1	0	7	0	62
62000178000	5	0	7	1	62
62000190000	2	0	19	1	62
62000191100	1	0	11	0	62
62000207200	5	0	11	2	62
62000225700	1	0	5	0	62
62000229900	1	0	5	0	62
62000259100	6	0	11	1	62
62000297300	2	0	11	2	62
62000303400	1	0	5	0	62
62000323100	2	0	5	1	62
62000323101	2	0	3	1	261
62000331100	2	0	9	1	62
62000376500	1	0	9	1	62
62000379600	1	0	3	1	62
62000389500	1	0	7	1	62
62000413400	2	0	13	0	62
62000428500	1	0	9	1	62
62000434600	3	0	19	3	62
62000442000	1	0	7	0	62
62000458300	2	0	5	0	62
62000458301	2	0	7	1	4047
62000459300	2	0	7	0	62
62000515100	1	0	7	1	62
62000544700	1	0	19	2	62
62000551900	1	0	15	2	62
62000561100	2	0	15	2	62
62000606600	2	0	11	1	62
62000612600	2	0	7	2	62
62000636000	2	0	7	0	62
62000639000	1	0	5	0	62
62000655700	2	0	13	2	62
62000673600	5	0	5	0	62
62000679800	3	0	11	1	62
62000688500	1	0	5	0	62
62000701600	1	0	7	2	62
62000710100	5	0	7	2	62
62000750200	2	0	7	0	62
62000756400	4	0	11	1	62
62000773600	3	0	9	2	62
62000811900	2	0	7	1	62
62000814800	2	0	11	2	62
62000834700	3	0	7	1	62
62000850300	2	0	7	1	62
63000010300	4	0	7	1	63
63000038100	3	0	9	2	63
63000055400	1	0	7	1	63
63000064100	2	0	13	3	63
64000012700	3	0	13	3	64
64000015000	2	0	7	1	64
64000053000	1	0	15	0	64
64000089800	5	0	15	1	64
64000090901	2	0	9	2	261
64000095100	4	0	11	2	64
64000113400	2	0	5	0	64
64000120800	2	0	9	1	64
64000123300	1	0	7	2	64
64000149900	2	0	9	0	64
64000157400	2	0	9	1	64
64000166000	2	0	5	1	64
64000183000	2	0	7	1	64
64000203700	4	0	7	1	64
64000212100	2	0	7	3	64
64000225400	2	0	9	1	64
64000229700	1	0	7	1	64
65000003200	3	0	19	2	65
65000004400	2	0	13	1	65
65000008700	4	0	11	3	65
65000015800	2	0	7	2	65
66000005100	4	0	9	1	66
66000020000	1	0	15	2	66
66000036200	1	0	3	0	66
66000045800	2	0	9	2	66
66000048600	2	0	9	0	66
66000050100	2	0	7	1	66
66000055400	4	0	11	0	66
66000058700	3	0	11	1	66
66000072200	1	0	13	1	66
66000084400	1	0	7	1	66
66000102300	1	0	9	0	66
66000119000	5	0	9	2	66
66000121900	2	0	15	2	66
66000123700	2	0	19	2	66
66000135700	4	0	13	2	66
66000137100	3	0	9	1	66
66000144400	3	0	17	2	66
66000148900	3	0	7	0	66
66000180400	2	0	7	3	66
66000185500	1	0	9	1	66
66000198800	4	0	15	2	66
66000201200	2	0	7	1	66
66000207900	2	0	9	1	66
66000214500	3	0	11	1	66
66000223700	2	0	13	2	66
66000226900	2	0	9	2	66
66000233300	1	0	5	0	66
66000237600	6	0	5	2	66
66000242700	2	0	11	2	66
66000247900	1	0	13	0	66
66000253600	1	0	5	2	66
66000257800	4	0	9	2	66
66000259900	4	0	7	2	66
66000268400	1	0	11	1	66
66000278300	1	0	5	1	66
66000289400	2	0	11	2	66
66000291400	1	0	5	1	66
66000303200	2	0	7	1	66
66000312500	1	0	13	1	66
66000316400	5	0	15	2	66
66000317400	1	0	7	1	66
66000344900	2	0	11	2	66
66000356900	1	0	19	2	66
66000366800	4	0	5	0	66
66000367400	1	0	7	2	69
66000367800	2	0	13	2	66
66000375100	2	0	9	1	69
66000378500	1	0	5	1	66
66000381900	2	0	15	2	66
66000383000	1	0	7	1	66
66000402800	1	0	15	1	66
66000422500	1	0	9	0	66
66000425700	1	0	5	0	66
66000431200	2	0	9	2	62
66000437300	2	0	5	0	66
66000445600	1	0	5	0	66
66000454400	1	0	15	1	66
66000464500	4	0	15	0	66
66000464501	4	0	11	1	161
66000468700	1	0	7	0	66
66000487600	3	0	5	1	66
66000492400	1	0	17	3	66
66000502400	2	0	5	1	66
66000503300	1	0	7	0	66
66000508900	1	0	7	0	66
66000512700	2	0	7	1	66
66000550400	6	0	19	2	66
66000555300	2	0	13	2	66
66000563900	1	0	17	3	66
66000615100	1	0	7	0	66
66000616100	1	0	11	2	66
66000617200	1	0	9	2	66
66000624100	5	0	7	2	66
66000646500	1	0	19	0	66
66000664600	1	0	15	1	66
66000671000	1	0	9	1	66
66000698200	2	0	11	1	66
66000706000	1	0	15	2	66
66000724500	4	0	11	1	69
66000726900	3	0	13	1	66
66000734600	1	0	9	2	66
67000016200	2	0	15	2	67
67000024500	4	0	9	1	67
67000025200	4	0	13	1	67
67000034100	2	0	7	1	67
67000036300	2	0	11	1	67
67000042000	1	0	5	1	67
67000051100	4	0	19	1	67
67000060100	2	0	19	1	67
67000066100	7	0	7	2	67
67000067300	6	0	13	2	67
67000077300	2	0	5	1	67
67000083900	1	0	5	0	67
67000094000	2	0	5	1	67
67000098200	1	0	7	1	67
67000103500	1	0	9	1	67
67000104700	3	0	15	2	67
67000117200	4	0	11	1	67
67000127600	1	0	5	1	67
67000150900	1	0	5	1	67
67000165600	3	0	9	0	67
68000025600	1	0	5	1	68
68000069500	4	0	9	2	68
68000069501	1	0	5	2	3272
68000075500	1	0	5	1	68
68000096300	1	0	5	1	68
69000094600	3	0	5	1	69
69000102400	2	0	11	2	69
69000114600	2	0	9	0	69
69000121600	1	0	9	1	69
69000121900	1	0	9	1	69
69000125300	2	0	7	2	69
69000141800	4	0	15	2	69
69000160100	3	0	7	1	69
69000167300	3	0	7	2	69
69000179500	2	0	19	2	69
69000193200	2	0	9	2	69
69000203200	4	0	11	1	69
69000214800	1	0	17	2	69
69000232100	2	0	5	1	69
69000260500	1	0	11	2	69
69000295800	5	0	11	2	69
69000296400	2	0	7	1	69
69000313700	8	0	11	1	69
69000315200	3	0	7	1	69
69000315400	2	0	13	1	69
69000321300	1	0	5	0	69
69000323500	1	0	5	1	69
69000325100	1	0	11	0	69
69000332200	1	0	9	0	69
69000339500	1	0	5	0	69
69000352100	1	0	13	1	69
69000367700	2	0	9	1	69
69000378800	2	0	7	2	69
69000381600	1	0	5	1	69
69000382400	2	0	7	1	69
69000398500	1	0	7	1	69
69000412200	6	0	9	1	69
69000418800	1	0	13	3	69
69000427500	1	0	5	1	69
69000430900	1	0	15	1	69
69000433200	3	0	5	2	69
69000451200	4	0	9	3	69
69000466000	2	0	15	1	69
69000472500	1	0	11	2	69
69000514400	3	0	11	1	69
69000515900	2	0	9	2	69
69000527600	1	0	7	1	69
69000548800	2	0	7	2	69
69000636300	2	0	19	1	69
69000646900	2	0	15	2	69
70000005500	4	0	7	1	70
71000028200	2	0	11	1	71
71000046200	1	0	5	0	71
72000007800	2	0	11	1	72
72000010100	2	0	7	2	72
72000017700	1	0	5	0	72
72000030300	7	0	11	2	72
72000037300	4	0	9	2	72
72000055300	3	0	11	0	72
72000065000	2	0	9	1	72
72000066700	4	0	15	2	72
72000079400	3	0	13	1	72
72000097500	1	0	3	0	72
72000102200	2	0	11	0	72
72000128800	1	0	5	1	72
72000129800	1	0	13	1	72
72000135000	4	0	15	1	72
72000135001	4	0	15	2	261
72000151700	2	0	11	2	72
72000156700	2	0	17	0	72
81000009800	5	0	13	1	81
82000020000	1	0	17	1	82
82000020100	2	0	11	1	82
82000031600	4	0	15	1	82
82000036900	4	0	9	1	82
82000040700	2	0	5	0	82
82000051900	1	0	13	2	82
83000018600	2	0	19	2	83
83000056800	1	0	11	2	83
83000062800	2	0	13	2	83
83000090300	5	0	11	1	83
83000104500	5	0	13	2	83
83000108400	6	0	11	1	83
83000109600	2	0	19	1	83
83000133800	4	0	15	0	83
83000188300	4	0	9	2	83
83000193900	2	0	11	0	83
83000198300	1	0	3	1	83
83000208400	1	0	5	1	83
83000233200	2	0	13	2	83
84000001100	2	0	19	2	84
84000028900	1	0	9	1	84
84000033800	2	0	5	1	84
84000053700	2	0	7	1	84
84000088701	1	0	5	1	261
84000091700	2	0	9	1	84
84000121300	2	0	9	1	84
84000126000	7	0	7	2	84
84000130400	1	0	5	0	84
84000140700	2	0	11	3	84
84000145800	2	0	13	1	84
85000021500	2	0	9	0	85
85000069500	2	0	5	1	85
86000018400	1	0	11	1	86
86000039900	3	0	13	2	86
86000040200	1	0	11	2	86
86000043900	2	0	11	2	86
86000052800	2	0	11	1	86
86000062300	4	0	7	1	86
86000076100	4	0	7	2	86
86000084100	2	0	5	2	86
86000084600	1	0	17	1	86
86000108700	3	0	7	2	86
86000129500	2	0	13	0	86
